id,sentiment
"12311_10",0.9947625994682312
"8348_2",0.016062378883361816
"5828_4",0.19402706623077393
"7186_2",0.5260242819786072
"12128_7",0.9847407937049866
"2913_8",0.7339509725570679
"4396_1",0.016488144174218178
"395_2",0.7318093180656433
"10616_1",0.0043339417316019535
"9074_9",0.5369496941566467
"9252_3",0.032721687108278275
"9896_9",0.1431511640548706
"574_4",0.5421907901763916
"11182_8",0.4736408591270447
"11656_4",0.6094048619270325
"2322_4",0.9687193632125854
"8703_1",0.061609379947185516
"7483_1",0.2822447419166565
"6007_10",0.9932423233985901
"12424_4",0.02321728877723217
"4672_1",0.007547244429588318
"10841_3",0.09379393607378006
"8954_7",0.7112728953361511
"7392_1",0.03103671781718731
"10288_8",0.9891358613967896
"5343_4",0.021026095375418663
"4950_1",0.003972733858972788
"9257_4",0.679161548614502
"8689_3",0.13984596729278564
"4480_2",0.02600383199751377
"9286_10",0.9909798502922058
"12245_10",0.995881199836731
"7529_7",0.9615000486373901
"4_4",0.048920273780822754
"5299_2",0.02570691704750061
"12077_8",0.9646969437599182
"10701_2",0.021651148796081543
"11579_1",0.02051437832415104
"10993_1",0.07957503944635391
"8913_1",0.08183678239583969
"1350_3",0.16335929930210114
"3804_2",0.010864783078432083
"5025_3",0.8158716559410095
"5170_8",0.590332567691803
"8225_8",0.9914752244949341
"6427_7",0.9863905906677246
"3165_3",0.22616401314735413
"7902_9",0.9955152869224548
"8208_3",0.003967612516134977
"3577_8",0.9811018109321594
"4865_1",0.008935184217989445
"9063_3",0.03213147819042206
"1106_1",0.6360560655593872
"1117_9",0.9657816886901855
"1050_4",0.25906282663345337
"10755_9",0.8963910937309265
"2729_8",0.9572324752807617
"10072_10",0.9892303347587585
"2904_7",0.9932589530944824
"4584_2",0.824341356754303
"189_4",0.1127864196896553
"6302_4",0.06486253440380096
"8138_9",0.833088219165802
"1262_1",0.048935286700725555
"2199_10",0.993069052696228
"6551_7",0.6428115963935852
"8082_7",0.17330582439899445
