id,sentiments
"12311_10",0.9910638332366943
"8348_2",0.03518538177013397
"5828_4",0.669882595539093
"7186_2",0.4413440525531769
"12128_7",0.888326108455658
"2913_8",0.4824594259262085
"4396_1",0.06821983307600021
"395_2",0.6459198594093323
"10616_1",0.016870377585291862
"9074_9",0.5297340154647827
"9252_3",0.0684807151556015
"9896_9",0.5517845749855042
"574_4",0.2804403007030487
"11182_8",0.6592090725898743
"11656_4",0.5492491722106934
"2322_4",0.39614447951316833
"8703_1",0.0882037878036499
"7483_1",0.40593335032463074
"6007_10",0.960356593132019
"12424_4",0.03280412405729294
"4672_1",0.014854038134217262
"10841_3",0.07139561325311661
"8954_7",0.6555752158164978
"7392_1",0.04513499513268471
"10288_8",0.8378175497055054
"5343_4",0.016971135511994362
"4950_1",0.010738929733633995
"9257_4",0.6047030687332153
"8689_3",0.0178542323410511
"4480_2",0.16706407070159912
"9286_10",0.9767234325408936
"12245_10",0.9952823519706726
"7529_7",0.8763265609741211
"4_4",0.15312924981117249
"5299_2",0.2927459478378296
"12077_8",0.8981950283050537
"10701_2",0.007489242125302553
"11579_1",0.09234822541475296
"10993_1",0.13547870516777039
"8913_1",0.0802936926484108
"1350_3",0.08041881769895554
"3804_2",0.07871337980031967
"5025_3",0.6334512233734131
"5170_8",0.3074980676174164
"8225_8",0.8442572951316833
"6427_7",0.8964966535568237
"3165_3",0.25687867403030396
"7902_9",0.9480628371238708
"8208_3",0.05193218216300011
"3577_8",0.9299630522727966
"4865_1",0.043991569429636
"9063_3",0.179666668176651
"1106_1",0.41365846991539
"1117_9",0.8621312975883484
"1050_4",0.2145993560552597
"10755_9",0.4477769136428833
"2729_8",0.6918385624885559
"10072_10",0.9166740775108337
"2904_7",0.9822211861610413
"4584_2",0.5299029350280762
"189_4",0.5068318247795105
"6302_4",0.2491382658481598
"8138_9",0.8398975729942322
"1262_1",0.14223435521125793
"2199_10",0.9010396599769592
"6551_7",0.38661882281303406
"8082_7",0.638648271560669
"4897_8",0.956074595451355
"7360_1",0.05748212710022926
"11012_10",0.7743234038352966
"12046_1",0.12981753051280975
"2331_2",0.5154598951339722
